# Data catalogue source: extfile:input/new_cats/galaxy_DR12v5_LOWZ_South.fits
# Data catalogue size: ntotal = 145050, wtotal = 35869.756, wstotal = 150050.000
# Data-source particle extents: ([1566.110, 4461.871], [1229.208, 5058.839], [1909.852, 3867.253])
# Random catalogue source: extfile:input/new_cats/random1_DR12v5_LOWZ_South.fits
# Random catalogue size: ntotal = 7082496, wtotal = 1692003.416, wstotal = 7082496.000
# Random-source particle extents: ([1481.692, 4518.308], [867.542, 5132.458], [1844.372, 4155.628])
# Box size: [6000.000, 6000.000, 6000.000]
# Box alignment: centre
# Mesh number: [512, 512, 512]
# Mesh assignment and interlacing: tsc, True
# Normalisation factor: 4.034440815e-01 (particle)
# Normalisation factor alternatives: 4.034440815e-01 (particle), 1.401831633e+00 (mesh), 1.432467501e+00 (mesh-mixed)
# [0] k_cen, [1] k_eff, [2] nmodes, [3] Re{pk0_raw}, [4] Im{pk0_raw}, [5] Re{pk0_shot}, [6] Im{pk0_shot}
5.500000000e-03	5.486963941e-03	       290	 9.347938984e+04	-1.324873014e-13	 4.860699850e+03	 0.000000000e+00
6.500000000e-03	6.471857466e-03	       486	 8.103533812e+04	 3.155491432e-13	 4.860699850e+03	 0.000000000e+00
7.500000000e-03	7.503996075e-03	       626	 7.705525031e+04	-2.508991723e-13	 4.860699850e+03	 0.000000000e+00
8.500000000e-03	8.485494651e-03	       738	 8.244498985e+04	-9.872423791e-14	 4.860699850e+03	 0.000000000e+00
9.500000000e-03	9.528688361e-03	      1142	 8.636560355e+04	 6.652787736e-14	 4.860699850e+03	 0.000000000e+00
1.050000000e-02	1.059290289e-02	      1202	 8.368549499e+04	 2.867698310e-13	 4.860699850e+03	 0.000000000e+00
1.150000000e-02	1.156805959e-02	      1410	 8.046550870e+04	 2.636225512e-13	 4.860699850e+03	 0.000000000e+00
1.250000000e-02	1.255755801e-02	      1766	 8.214706769e+04	 4.190361935e-13	 4.860699851e+03	 0.000000000e+00
1.350000000e-02	1.352377727e-02	      1818	 8.553261483e+04	-2.966709493e-13	 4.860699851e+03	 0.000000000e+00
1.450000000e-02	1.449493368e-02	      2354	 8.128015065e+04	-1.042749092e-13	 4.860699852e+03	 0.000000000e+00
1.550000000e-02	1.550659145e-02	      2646	 7.439323797e+04	 1.018838312e-13	 4.860699852e+03	 0.000000000e+00
1.650000000e-02	1.649600611e-02	      2906	 6.820276507e+04	-9.613962708e-14	 4.860699854e+03	 0.000000000e+00
1.750000000e-02	1.749597409e-02	      3402	 6.747575538e+04	 7.871475031e-14	 4.860699855e+03	 0.000000000e+00
1.850000000e-02	1.852436772e-02	      3926	 7.104904690e+04	 9.747601315e-14	 4.860699857e+03	 0.000000000e+00
1.950000000e-02	1.951070807e-02	      3866	 7.164221292e+04	 2.919009206e-13	 4.860699860e+03	 0.000000000e+00
2.050000000e-02	2.049887913e-02	      4794	 7.276470034e+04	-2.518396926e-13	 4.860699863e+03	 0.000000000e+00
2.150000000e-02	2.151843925e-02	      5078	 6.565031820e+04	-1.061158450e-13	 4.860699868e+03	 0.000000000e+00
2.250000000e-02	2.250744646e-02	      5388	 5.826493410e+04	 1.550168253e-13	 4.860699874e+03	 0.000000000e+00
2.350000000e-02	2.350926803e-02	      6242	 5.338687246e+04	-1.216960605e-13	 4.860699881e+03	 0.000000000e+00
2.450000000e-02	2.451973800e-02	      6510	 5.026968660e+04	-1.372547632e-13	 4.860699890e+03	 0.000000000e+00
2.550000000e-02	2.550872125e-02	      7034	 4.870235649e+04	-1.190372256e-13	 4.860699902e+03	 0.000000000e+00
2.650000000e-02	2.649946825e-02	      7626	 4.855399828e+04	-3.952055407e-14	 4.860699914e+03	 0.000000000e+00
