# Data catalogue source: extfile:input/new_cats/galaxy_DR12v5_CMASS_North.fits
# Data catalogue size: ntotal = 618617, wtotal = 209578.046, wstotal = 658594.984
# Data-source particle extents: ([1189.758, 4542.726], [167.070, 5956.929], [1470.222, 4648.177])
# Random catalogue source: extfile:input/new_cats/random1_DR12v5_CMASS_North.fits
# Random catalogue size: ntotal = 3213409, wtotal = 1022431.962, wstotal = 3213409.000
# Random-source particle extents: ([1446.283, 4553.717], [255.985, 5744.015], [1472.936, 4527.064])
# Box size: [6000.000, 6000.000, 6000.000]
# Box alignment: centre
# Mesh number: [512, 512, 512]
# Mesh assignment and interlacing: tsc, True
# Normalisation factor: 8.135305116e-02 (particle)
# Normalisation factor alternatives: 8.135305116e-02 (particle), 1.867793618e-01 (mesh), 2.824407381e-01 (mesh-mixed)
# [0] k_cen, [1] k_eff, [2] nmodes, [3] Re{pk0_raw}, [4] Im{pk0_raw}, [5] Re{pk0_shot}, [6] Im{pk0_shot}
5.500000000e-03	5.486963941e-03	       290	 1.490306575e+05	 8.597539064e-13	 9.620258486e+03	 0.000000000e+00
6.500000000e-03	6.471857466e-03	       486	 9.597835036e+04	 6.112308199e-13	 9.620258486e+03	 0.000000000e+00
7.500000000e-03	7.503996075e-03	       626	 6.996364439e+04	 1.181694862e-13	 9.620258486e+03	 0.000000000e+00
8.500000000e-03	8.485494651e-03	       738	 8.332959750e+04	 1.188740001e-14	 9.620258486e+03	 0.000000000e+00
9.500000000e-03	9.528688361e-03	      1142	 7.670594367e+04	-2.382145577e-13	 9.620258487e+03	 0.000000000e+00
1.050000000e-02	1.059290289e-02	      1202	 7.893375638e+04	-1.563715062e-13	 9.620258487e+03	 0.000000000e+00
1.150000000e-02	1.156805959e-02	      1410	 7.841823629e+04	 4.705237496e-14	 9.620258487e+03	 0.000000000e+00
1.250000000e-02	1.255755801e-02	      1766	 8.068785726e+04	 5.923006142e-15	 9.620258488e+03	 0.000000000e+00
1.350000000e-02	1.352377727e-02	      1818	 7.587279372e+04	 7.565302879e-15	 9.620258489e+03	 0.000000000e+00
1.450000000e-02	1.449493368e-02	      2354	 7.490388303e+04	-6.209456745e-14	 9.620258490e+03	 0.000000000e+00
1.550000000e-02	1.550659145e-02	      2646	 7.041340456e+04	-1.433378084e-14	 9.620258491e+03	 0.000000000e+00
1.650000000e-02	1.649600611e-02	      2906	 6.624863960e+04	 1.066708868e-13	 9.620258494e+03	 0.000000000e+00
1.750000000e-02	1.749597409e-02	      3402	 6.218142816e+04	-1.494138566e-13	 9.620258497e+03	 0.000000000e+00
1.850000000e-02	1.852436772e-02	      3926	 5.600675245e+04	-4.333577945e-15	 9.620258501e+03	 0.000000000e+00
1.950000000e-02	1.951070807e-02	      3866	 5.772562194e+04	-1.700491561e-13	 9.620258506e+03	 0.000000000e+00
2.050000000e-02	2.049887913e-02	      4794	 5.819793688e+04	-9.442712952e-14	 9.620258513e+03	 0.000000000e+00
2.150000000e-02	2.151843925e-02	      5078	 5.658238012e+04	 8.974278238e-15	 9.620258522e+03	 0.000000000e+00
2.250000000e-02	2.250744646e-02	      5388	 5.857117919e+04	-8.834677813e-15	 9.620258534e+03	 0.000000000e+00
2.350000000e-02	2.350926803e-02	      6242	 6.081765357e+04	 1.071144205e-13	 9.620258547e+03	 0.000000000e+00
2.450000000e-02	2.451973800e-02	      6510	 5.506922186e+04	 1.401015341e-13	 9.620258566e+03	 0.000000000e+00
2.550000000e-02	2.550872125e-02	      7034	 5.222155095e+04	 5.574829309e-14	 9.620258588e+03	 0.000000000e+00
2.650000000e-02	2.649946825e-02	      7626	 4.989410936e+04	 5.678498550e-14	 9.620258613e+03	 0.000000000e+00
2.750000000e-02	2.750605651e-02	      8462	 4.853261376e+04	 4.517160851e-15	 9.620258647e+03	 0.000000000e+00
2.850000000e-02	2.851157646e-02	      8778	 4.530737377e+04	-1.103468405e-15	 9.620258687e+03	 0.000000000e+00
2.950000000e-02	2.950080237e-02	      9434	 4.595851099e+04	 9.972963878e-15	 9.620258730e+03	 0.000000000e+00
3.050000000e-02	3.050473555e-02	     10382	 4.588467653e+04	-5.580244535e-14	 9.620258787e+03	 0.000000000e+00
3.150000000e-02	3.151077777e-02	     10746	 4.411423840e+04	 3.158335576e-15	 9.620258854e+03	 0.000000000e+00
3.250000000e-02	3.251294853e-02	     11786	 4.265661369e+04	 2.398612475e-14	 9.620258928e+03	 0.000000000e+00
3.350000000e-02	3.352591071e-02	     12366	 4.163841764e+04	-1.077256279e-14	 9.620259021e+03	 0.000000000e+00
3.450000000e-02	3.451640001e-02	     12698	 4.201294349e+04	-4.016697918e-14	 9.620259127e+03	 0.000000000e+00
3.550000000e-02	3.550965301e-02	     13986	 4.044555278e+04	 1.955551956e-14	 9.620259242e+03	 0.000000000e+00
3.650000000e-02	3.649686618e-02	     14006	 4.011316768e+04	-2.670546313e-14	 9.620259395e+03	 0.000000000e+00
3.750000000e-02	3.749450445e-02	     15882	 4.021748565e+04	-5.138196597e-14	 9.620259546e+03	 0.000000000e+00
3.850000000e-02	3.851630140e-02	     16442	 3.976570189e+04	 2.034431490e-14	 9.620259728e+03	 0.000000000e+00
3.950000000e-02	3.951752035e-02	     16898	 4.046394438e+04	 9.951166189e-15	 9.620259963e+03	 0.000000000e+00
4.050000000e-02	4.050872299e-02	     17862	 3.914440039e+04	 6.992899988e-15	 9.620260180e+03	 0.000000000e+00
4.150000000e-02	4.149904015e-02	     18578	 3.745937024e+04	 3.188706845e-14	 9.620260474e+03	 0.000000000e+00
